	entrez	symbol	PCA.PC1	PCA.PC2	PCA.PC3	PCA.PC4	PCA.PC5	PCA.PC6	PCA.PC7	PCA.PC8	PCA.PC9	PCA.PC10	PCA.PC11	PCA.PC12	PCA.PC13	PCA.PC14	PCA.PC15	PCA.PC16	PCA.PC17	PCA.PC18	CTRL2_progenitor_0_weeks_untreated_1	CTRL2_progenitor_0_weeks_untreated_2	CTRL2_progenitor_0_weeks_untreated_3	CTRL2_CNTF_2_weeks_untreated_1	CTRL2_CNTF_2_weeks_untreated_2	CTRL2_CNTF_2_weeks_untreated_3	CTRL2_CNTF_3_weeks_untreated_1	CTRL2_CNTF_3_weeks_untreated_2	CTRL2_CNTF_3_weeks_untreated_3	CTRL3_progenitor_0_weeks_untreated_1	CTRL3_progenitor_0_weeks_untreated_2	CTRL3_progenitor_0_weeks_untreated_3	CTRL3_CNTF_2_weeks_untreated_1	CTRL3_CNTF_2_weeks_untreated_2	CTRL3_CNTF_2_weeks_untreated_3	CTRL3_CNTF_3_weeks_untreated_1	CTRL3_CNTF_3_weeks_untreated_2	CTRL3_CNTF_3_weeks_untreated_3
ID																					CTRL2_progenitor_0_weeks_untreated_1	CTRL2_progenitor_0_weeks_untreated_2	CTRL2_progenitor_0_weeks_untreated_3	CTRL2_CNTF_2_weeks_untreated_1	CTRL2_CNTF_2_weeks_untreated_2	CTRL2_CNTF_2_weeks_untreated_3	CTRL2_CNTF_3_weeks_untreated_1	CTRL2_CNTF_3_weeks_untreated_2	CTRL2_CNTF_3_weeks_untreated_3	CTRL3_progenitor_0_weeks_untreated_1	CTRL3_progenitor_0_weeks_untreated_2	CTRL3_progenitor_0_weeks_untreated_3	CTRL3_CNTF_2_weeks_untreated_1	CTRL3_CNTF_2_weeks_untreated_2	CTRL3_CNTF_2_weeks_untreated_3	CTRL3_CNTF_3_weeks_untreated_1	CTRL3_CNTF_3_weeks_untreated_2	CTRL3_CNTF_3_weeks_untreated_3
LIMS_ID																					OTO5403A22	OTO5403A29	OTO5403A36	OTO5403A24	OTO5403A31	OTO5403A38	OTO5403A27	OTO5403A41	OTO5403A34	OTO5403A1	OTO5403A8	OTO5403A15	OTO5403A3	OTO5403A10	OTO5403A17	OTO5403A6	OTO5403A13	OTO5403A20
sample_label																					CTRL2_progenitor_0_weeks_1	CTRL2_progenitor_0_weeks_2	CTRL2_progenitor_0_weeks_3	CTRL2_CNTF_2_weeks_10	CTRL2_CNTF_2_weeks_11	CTRL2_CNTF_2_weeks_12	CTRL2_CNTF_3_weeks_16	CTRL2_CNTF_3_weeks_17	CTRL2_CNTF_3_weeks_18	CTRL3_progenitor_0_weeks_22	CTRL3_progenitor_0_weeks_23	CTRL3_progenitor_0_weeks_24	CTRL3_CNTF_2_weeks_31	CTRL3_CNTF_2_weeks_32	CTRL3_CNTF_2_weeks_33	CTRL3_CNTF_3_weeks_37	CTRL3_CNTF_3_weeks_38	CTRL3_CNTF_3_weeks_39
sample_no																					1	2	3	10	11	12	16	17	18	22	23	24	31	32	33	37	38	39
cell_line																					CTRL2	CTRL2	CTRL2	CTRL2	CTRL2	CTRL2	CTRL2	CTRL2	CTRL2	CTRL3	CTRL3	CTRL3	CTRL3	CTRL3	CTRL3	CTRL3	CTRL3	CTRL3
target																					progenitor	progenitor	progenitor	CNTF_diff_2w	CNTF_diff_2w	CNTF_diff_2w	CNTF_diff_3w	CNTF_diff_3w	CNTF_diff_3w	progenitor	progenitor	progenitor	CNTF_diff_2w	CNTF_diff_2w	CNTF_diff_2w	CNTF_diff_3w	CNTF_diff_3w	CNTF_diff_3w
differentiation																					progenitor	progenitor	progenitor	CNTF	CNTF	CNTF	CNTF	CNTF	CNTF	progenitor	progenitor	progenitor	CNTF	CNTF	CNTF	CNTF	CNTF	CNTF
time																					0_weeks	0_weeks	0_weeks	2_weeks	2_weeks	2_weeks	3_weeks	3_weeks	3_weeks	0_weeks	0_weeks	0_weeks	2_weeks	2_weeks	2_weeks	3_weeks	3_weeks	3_weeks
treatment																					untreated	untreated	untreated	untreated	untreated	untreated	untreated	untreated	untreated	untreated	untreated	untreated	untreated	untreated	untreated	untreated	untreated	untreated
experiment																					1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3
cell_line_batch																					CTRL2_1	CTRL2_2	CTRL2_3	CTRL2_1	CTRL2_2	CTRL2_3	CTRL2_1	CTRL2_2	CTRL2_3	CTRL3_1	CTRL3_2	CTRL3_3	CTRL3_1	CTRL3_2	CTRL3_3	CTRL3_1	CTRL3_2	CTRL3_3
.PCA.PC1																					-37.6501294197632	-74.4931108524225	-66.7218021288693	1.58358865317992	-65.3820570040158	-39.9607910677434	-0.347735322513221	-54.7760134294803	-72.7538059141321	-29.7382126978187	-8.85980863551247	0.845278580248085	78.5647940596885	67.1206808616762	68.3919078093818	85.8142664474553	72.4290562922867	75.9338937683543
.PCA.PC2																					12.6013506379814	-21.4013400417371	1.83760023856894	56.0237402063728	9.77716155963091	45.1360291168319	59.2519579899152	38.0066090898724	9.49869068737884	-85.1261408318847	-75.2563404626565	-63.3015641774218	-2.89786473247434	-2.31732660593305	1.57653192288119	3.71045062835153	4.36833591534783	8.5121188589746
.PCA.PC3																					35.8970606323801	-26.7896526662877	34.0781893808136	29.7020669043481	-51.3554644479888	18.8841325279272	23.734059400199	6.60887016939927	-64.8640454551185	6.98137720761512	26.3852605135068	22.9334855234668	-22.4589686118441	-0.15414059949438	-5.75655700122567	-22.3231314962872	-2.92889066215319	-8.57365131925624
.PCA.PC4																					17.6537806052786	44.8790244658388	-13.2762343122642	24.3513196476288	17.2477403291951	-30.1885700397691	20.4451911866272	-45.7538425306332	-12.5314090326034	-26.30135931802	6.2806008804294	8.78248320559924	-16.2405946495287	7.02490917309561	3.68047153998499	-11.7761110517489	3.20027541615541	2.52232448473429
.PCA.PC5																					7.19261844650668	29.7982190120196	39.3036405792839	-16.7686202218946	-5.13326496142266	0.665737738387346	-20.812007202562	-2.16590871661334	-22.6580653083345	-13.3140103577124	-13.6248559861902	-12.1037308660753	16.513532664395	-4.54845449116713	-2.09911530690018	19.7289210787118	-1.79214965282305	1.81751355239103
.PCA.PC6																					-16.54951495954	1.38294021016846	9.53201714676278	-14.9936912325941	2.1422466322175	8.74447021919246	-15.1021684025557	12.533942984455	2.11523979529762	-31.3287746567422	10.3230414427137	15.697299054509	-20.670868233065	14.5348698196159	16.2892945899247	-21.7256638113073	13.2134795071431	13.8618398938039
.PCA.PC7																					-4.39857794080268	-5.1977123165077	-8.21665084854911	-2.25758935282014	15.9723308531552	11.1914614971563	2.54937967202155	1.58844776693173	-10.1861648232454	-18.601883749814	13.7888529220229	17.6906365039698	13.1539458506545	-8.83147539725376	-10.7105016845223	12.4575883695921	-10.2130021695168	-9.77908515247219
.PCA.PC8																					-32.5688616523229	15.1389070088834	-1.85733933614949	6.44251199954349	3.8467255903793	6.40852849605573	11.2724735008935	6.32562969352541	-18.1019681365249	13.1632644594922	-2.28202578137094	-4.01360431754743	-2.39866714155837	-0.600974757854914	0.269380106317941	-2.47408928834324	0.819673052950021	0.610436503631242
.PCA.PC9																					14.4518319266576	-0.314769833791608	-12.6350683778567	-9.62858754708675	14.8366506707772	9.28695341935389	-4.9990725852036	2.55097061990092	-15.3400061508081	8.06783698010179	-9.84725838725892	-0.832433533334828	-2.6321166389758	-0.367773747299496	7.724472454178	-6.31728357841219	0.171199902071858	5.82445440698666
.PCA.PC10																					-6.25325390047038	-15.5865427323066	17.4739661405672	4.24884371995866	15.8395664408166	-1.70771933663938	0.436849104295819	-14.5214867641985	-0.727296089819735	3.83773010058556	-5.41051955265634	2.48747862853855	-0.317974735822203	-1.09707454456808	5.22963789325486	-2.80045175385631	-3.74615917701587	2.61440655933609
.PCA.PC11																					1.66383461808735	-4.57256953140421	2.12684573215657	-2.49232815920287	9.79120801503436	-3.07667221799643	-0.470199553298207	1.68248015447748	-4.7639653146436	0.0553007901943604	10.841594438459	-14.9336248217578	-1.98796414979576	12.5523850092217	-10.2783186743706	0.394365891883951	11.3336119326206	-7.86598415966601
.PCA.PC12																					-0.701037080498195	1.91533922681283	-0.833292563484511	4.36797314185312	-1.87088742368614	2.80362286205215	-4.71018363537682	-1.11681754384359	0.559695149114116	0.15327472547536	-7.62106178382503	5.16614534127935	11.6664322843978	13.0411389685697	1.7805739821491	-9.70968176727285	-1.24406482217207	-13.6471690615443
.PCA.PC13																					0.723152210499086	-0.326523068335936	1.88348596154245	-8.71010618162817	-0.325391162785893	-5.08306768218111	10.5642873944625	1.89317489638895	-0.263995860023142	-1.91903393797565	6.12146951373194	-5.6525209621658	12.0488594803865	-5.2608100636667	6.56133902848743	-11.185066652898	-1.9575348785671	0.888281964728592
.PCA.PC14																					0.59632762096817	-1.59232736529983	-0.0995605848934694	9.02340752746493	4.43674370365661	-14.4988508965649	-6.66589638675154	13.0979547857856	-4.11984732135396	-0.978740109238903	0.760192532510704	0.199410225669331	0.503129582565502	-0.830106283723893	4.90611826286746	0.772894901469399	-5.49155740059282	-0.0192927945383562
.PCA.PC15																					-0.579038512024067	1.27742302599808	-2.50982397992625	8.10675358074216	-1.27500877470905	8.96763577146134	-9.33713075069164	-5.30940416682717	0.939779229915594	-0.603229562022263	10.1113210992753	-10.4016014481056	2.18016950721371	-0.895134292924626	5.81361162372264	-1.97970738350996	-7.43899499919549	2.93238003160733
.PCA.PC16																					0.205810800073347	0.0452442816756048	0.47650687675529	-6.19516269129665	-0.806306808656882	-0.403236266052984	6.00499108611515	0.454977091293418	0.189988148060975	0.0100582719461035	0.620723009376437	-1.51599215187264	-5.2185641614995	11.2147889451919	4.04280127859419	5.78098028068495	-13.8272639500328	-1.08034404035589
.PCA.PC17																					0.0229517087493582	0.000703234944737506	-0.0354199144661275	1.03057032849913	0.110710940385433	-0.925262465447691	-0.787476386584811	0.76226394595571	-0.171784263271845	0.260786641133918	-0.984513265191929	1.12369323857025	4.38382161100138	5.17652262305182	-12.2453689576105	-5.15902769691074	-5.10140969051242	12.5382383677044
.PCA.PC18																					5.80750725287515e-14	5.75720027207183e-14	5.69596453336985e-14	5.4827670181723e-14	5.81756864903582e-14	5.70030134205979e-14	5.67740299217689e-14	5.74228165017843e-14	5.89181481380763e-14	5.8713450767911e-14	5.76882291936087e-14	5.91479989986432e-14	5.80577252939918e-14	5.84584464169424e-14	5.90222315466349e-14	5.83214032623403e-14	5.88799842216048e-14	5.82450754293973e-14
	entrez	symbol	PCA.PC1	PCA.PC2	PCA.PC3	PCA.PC4	PCA.PC5	PCA.PC6	PCA.PC7	PCA.PC8	PCA.PC9	PCA.PC10	PCA.PC11	PCA.PC12	PCA.PC13	PCA.PC14	PCA.PC15	PCA.PC16	PCA.PC17	PCA.PC18	CTRL2_progenitor_0_weeks_untreated_1	CTRL2_progenitor_0_weeks_untreated_2	CTRL2_progenitor_0_weeks_untreated_3	CTRL2_CNTF_2_weeks_untreated_1	CTRL2_CNTF_2_weeks_untreated_2	CTRL2_CNTF_2_weeks_untreated_3	CTRL2_CNTF_3_weeks_untreated_1	CTRL2_CNTF_3_weeks_untreated_2	CTRL2_CNTF_3_weeks_untreated_3	CTRL3_progenitor_0_weeks_untreated_1	CTRL3_progenitor_0_weeks_untreated_2	CTRL3_progenitor_0_weeks_untreated_3	CTRL3_CNTF_2_weeks_untreated_1	CTRL3_CNTF_2_weeks_untreated_2	CTRL3_CNTF_2_weeks_untreated_3	CTRL3_CNTF_3_weeks_untreated_1	CTRL3_CNTF_3_weeks_untreated_2	CTRL3_CNTF_3_weeks_untreated_3
ENSG00000000003	7105	TSPAN6	0.0114995875848259	0.00579642847475616	-0.00046713175500762	-0.00431039170992645	0.00910731190529943	-0.00349212424406888	0.00446146627893731	-0.00165500575471285	0.00965569140565906	-0.00616745826518286	-0.00687630218807684	0.00887304836694852	-0.00737050481598222	-0.00279694901367957	-0.00156496468507267	-0.00578792739974828	0.00300944750162692	0.00676270084496865	11.00099291954	10.345777943863	10.4543992803202	11.2479342370409	10.3667030092968	11.2909831384884	11.0678587852736	10.9107124816102	10.1209458690405	10.3748035818545	10.1971163337448	10.8523993327059	12.4388646324969	11.766377205994	11.7985501069409	12.4295060065133	11.9212705765932	11.9881675503738
ENSG00000000419	8813	DPM1	-0.00587720335115828	-8.07400119399957e-05	0.00097620036827446	-0.00654308659706481	0.00350071092144395	-0.00239651802298224	-0.00282347990380469	-0.00233363230315855	0.00571408776969002	0.00164730079466252	-0.00529476844801543	-0.00708498781987356	0.00486737726381742	0.00337603470503668	0.000582441425039908	-0.000435351604418147	-0.00363569151966864	0.0255612020136336	9.71844584992028	9.52894203109293	9.96485730420085	9.10230374647734	9.58012506696558	9.71567931062293	9.20016000416662	9.95678070616901	9.70234466938819	9.79985961661142	9.26166932604702	9.20191011762368	9.01082228667353	8.67170414774751	9.09258160791964	8.98352397379408	8.8268620079511	9.01619941824849
